JPN; ayano sato; Speed skating; -; 1; -; 2; 1996
GER; sascha benecken; Luge; -; 1; -; 3; 1990
GER; eric frenzel; Nordic Combined; -; 1; -; 4; 1988
USA; kelly pannek; Ice Hockey; -; 1; -; 2; 1995
USA; jincy dunne; Ice Hockey; -; 1; -; 1; 1997
FRA; julia simon; Biathlon; -; 1; -; 1; 1996
GBR; bobby lammie; Curling; -; 1; -; 1; 1997
USA; amanda kessel; Ice Hockey; -; 1; -; 3; 1991
ROC; nikita nesterov; Ice Hockey; -; 1; -; 2; 1993
ROC; egor iakovlev; Ice Hockey; -; 1; -; 1; 1991
GER; linus strasser; Alpine Skiing; -; 1; -; 2; 1992
USA; jesse compher; Ice Hockey; -; 1; -; 1; 1999
USA; abbey murphy; Ice Hockey; -; 1; -; 1; 2002
USA; vincent zhou; Figure skating; -; 1; -; 2; 2000
USA; david wise; Freestyle Skiing; -; 1; -; 3; 1990
USA; colby stevenson; Freestyle Skiing; -; 1; -; 1; 1997
USA; nicholas goepper; Freestyle Skiing; -; 1; -; 3; 1994
SWE; martin ponsiluoma; Biathlon; -; 1; -; 2; 1995
KOR; whi min seo; Short Track Speed Skating; -; 1; -; 1; 2002
USA; brianna decker; Ice Hockey; -; 1; -; 3; 1991
ROC; alexandra trusova; Figure skating; -; 1; -; 1; 2004
ROC; irina avvakumova; Ski Jumping; -; 1; -; 3; 1991
KOR; janghyuk park; Short Track Speed Skating; -; 1; -; 1; 1998
GER; alexander schmid; Alpine Skiing; -; 1; -; 2; 1994
GER; christian rasp; Bobsleigh; -; 1; -; 2; 1989
ROC; irma makhinia; Ski Jumping; -; 1; -; 1; 2002
NOR; kristin skaslien; Curling; -; 1; -; 2; 1986
ROC; aleksandr samonov; Ice Hockey; -; 1; -; 1; 1995
USA; julia marino; Snowboard; -; 1; -; 2; 1997
GER; emma aicher; Alpine Skiing; -; 1; -; 1; 2003
USA; alex carpenter; Ice Hockey; -; 1; -; 2; 1994
ROC; daniil aldoshkin; Speed skating; -; 1; -; 1; 2001
GER; axel jungk; Skeleton; -; 1; -; 2; 1991
ITA; martina valcepina; Short Track Speed Skating; -; 1; -; 4; 1992
CAN; cassie sharpe; Freestyle Skiing; -; 1; -; 2; 1992
NOR; magnus nedregotten; Curling; -; 1; -; 2; 1990
FRA; simon desthieux; Biathlon; -; 1; -; 1; 1991
GER; mariama jamanka; Bobsleigh; -; 1; -; 2; 1990
ROC; nikita katsalapov; Figure skating; -; 1; -; 2; 1991
GER; katherine sauerbrey; Cross Country Skiing; -; 1; -; 1; 1997
ROC; svetlana mironova; Biathlon; -; 1; -; 1; 1994
JPN; yumi suzuki; Curling; -; 1; -; 2; 1991
ROC; sergei plotnikov; Ice Hockey; -; 1; -; 1; 1990
USA; ryan cochran-siegle; Alpine Skiing; -; 1; -; 2; 1992
ROC; artem minulin; Ice Hockey; -; 1; -; 1; 1998
ROC; alexander elesin; Ice Hockey; -; 1; -; 1; 1996
ROC; artur kayumov; Ice Hockey; -; 1; -; 1; 1998
FIN; joni maeki; Cross Country Skiing; -; 1; -; 1; 1995
GER; julian schmid; Nordic Combined; -; 1; -; 1; 1999
ROC; danil sadreev; Ski Jumping; -; 1; -; 1; 2003
GBR; hammy mcmillan; Curling; -; 1; -; 1; 1992
ROC; konstantin ivliev; Short Track Speed Skating; -; 1; -; 1; 2000
ROC; irina kazakevich; Biathlon; -; 1; -; 1; 1997
ROC; kirill semenov; Ice Hockey; -; 1; -; 1; 1994
ROC; damir sharipzianov; Ice Hockey; -; 1; -; 1; 1996
USA; jaelin kauf; Freestyle Skiing; -; 1; -; 2; 1996
AUT; mirjam puchner; Alpine Skiing; -; 1; -; 1; 1992
