Country;Athlete;Sport;Games;Gold;Silver;Bronze;YearOfBirth
Russian Olympic Committee; Egor Iakovlev; Ice Hockey; 0; 1; 0; 1; 1991
Germany; Linus Strasser; Alpine Skiing; 0; 1; 0; 2; 1992
United States of America; Jesse Compher; Ice Hockey; 0; 1; 0; 1; 1999
United States of America; Abbey Murphy; Ice Hockey; 0; 1; 0; 1; 2002
United States of America; Vincent Zhou; Figure skating; 0; 1; 0; 2; 2000
United States of America; David Wise; Freestyle Skiing; 0; 1; 0; 3; 1990
United States of America; Colby Stevenson; Freestyle Skiing; 0; 1; 0; 1; 1997
United States of America; Nicholas Goepper; Freestyle Skiing; 0; 1; 0; 3; 1994
Sweden; Martin Ponsiluoma; Biathlon; 0; 1; 0; 2; 1995
Republic of Korea; Whi Min Seo; Short Track Speed Skating; 0; 1; 0; 1; 2002
United States of America; Brianna Decker; Ice Hockey; 0; 1; 0; 3; 1991
Russian Olympic Committee; Alexandra Trusova; Figure skating; 0; 1; 0; 1; 2004
Russian Olympic Committee; Irina Avvakumova; Ski Jumping; 0; 1; 0; 3; 1991
Republic of Korea; Janghyuk Park; Short Track Speed Skating; 0; 1; 0; 1; 1998
Germany; Alexander Schmid; Alpine Skiing; 0; 1; 0; 2; 1994
Germany; Christian Rasp; Bobsleigh; 0; 1; 0; 2; 1989
Russian Olympic Committee; Irma Makhinia; Ski Jumping; 0; 1; 0; 1; 2002
Norway; Kristin Skaslien; Curling; 0; 1; 0; 2; 1986
Russian Olympic Committee; Aleksandr Samonov; Ice Hockey; 0; 1; 0; 1; 1995
United States of America; Julia Marino; Snowboard; 0; 1; 0; 2; 1997
Germany; Emma Aicher; Alpine Skiing; 0; 1; 0; 1; 2003
United States of America; Alex Carpenter; Ice Hockey; 0; 1; 0; 2; 1994
Russian Olympic Committee; Daniil Aldoshkin; Speed skating; 0; 1; 0; 1; 2001
Germany; Axel Jungk; Skeleton; 0; 1; 0; 2; 1991
Italy; Martina Valcepina; Short Track Speed Skating; 0; 1; 0; 4; 1992
Canada; Cassie Sharpe; Freestyle Skiing; 0; 1; 0; 2; 1992
Norway; Magnus Nedregotten; Curling; 0; 1; 0; 2; 1990
France; Simon Desthieux; Biathlon; 0; 1; 0; 1; 1991
Germany; Mariama Jamanka; Bobsleigh; 0; 1; 0; 2; 1990
Russian Olympic Committee; Nikita Katsalapov; Figure skating; 0; 1; 0; 2; 1991
Germany; Katherine Sauerbrey; Cross Country Skiing; 0; 1; 0; 1; 1997
Russian Olympic Committee; Svetlana Mironova; Biathlon; 0; 1; 0; 1; 1994
Japan; Yumi Suzuki; Curling; 0; 1; 0; 2; 1991
Russian Olympic Committee; Sergei Plotnikov; Ice Hockey; 0; 1; 0; 1; 1990
United States of America; Ryan Cochran-siegle; Alpine Skiing; 0; 1; 0; 2; 1992
